Info - com.thortech.wheelsandsquares.Logic.Level: Final random number: 1849812016
Info - com.thortech.wheelsandsquares.WheelsAndSquares: Created OK
Info - com.thortech.wheelsandsquares.Scenes.BoardStage: com.thortech.wheelsandsquares.Actors.Wheel1
Info - com.thortech.wheelsandsquares.Actors.Wheel4: touchDown
Info - com.thortech.wheelsandsquares.Actors.Wheel4: touchDown
Info - com.thortech.wheelsandsquares.Actors.Wheel2: touchDown
Info - com.thortech.wheelsandsquares.Actors.Wheel2: touchDown
Info - com.thortech.wheelsandsquares.Actors.Wheel3: touchDown
Info - com.thortech.wheelsandsquares.Actors.Wheel3: touchDown
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDown
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDown
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDown
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDown
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDown
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDown
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDown
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel1: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel3: touchDown
Info - com.thortech.wheelsandsquares.Actors.Wheel3: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel4: touchDown
Info - com.thortech.wheelsandsquares.Actors.Wheel4: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel2: touchDown
Info - com.thortech.wheelsandsquares.Actors.Wheel2: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel2: touchDown
Info - com.thortech.wheelsandsquares.Actors.Wheel2: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel2: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel2: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel2: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel2: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel2: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel2: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel2: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel2: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel2: touchDragged
Info - com.thortech.wheelsandsquares.Actors.Wheel2: touchDragged
